reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Vascular bypass dysfunction,Vascular bypass dysfunction,cardiovascular,Cardiovascular,rule
Splenic artery thrombosis,Splenic artery thrombosis,cardiovascular,Cardiovascular,rule
Vascular catheterisation,Vascular catheterisation,device,Device and procedure-related,rule
Eastern Cooperative Oncology Group performance status,Eastern Cooperative Oncology Group performance status,other,Other / manual review,fallback
Urethral cancer recurrent,Urethral cancer recurrent,neoplasm,Neoplasms,rule
Intestinal angioma,Intestinal angioma,laboratory,Laboratory and investigation,rule
Sedative therapy,Sedative therapy,procedure,Procedures and interventions,rule
Blood testosterone free decreased,Blood testosterone free decreased,laboratory,Laboratory and investigation,rule
Factor XII deficiency,Factor XII deficiency,other,Other / manual review,fallback
SUNCT syndrome,SUNCT syndrome,other,Other / manual review,fallback
Scan adrenal gland normal,Scan adrenal gland normal,laboratory,Laboratory and investigation,rule
Vascular resistance systemic,Vascular resistance systemic,cardiovascular,Cardiovascular,rule
Isoimmune haemolytic disease,Isoimmune haemolytic disease,immune_inflammatory,Immune and inflammatory,rule
Platelet rich plasma therapy,Platelet rich plasma therapy,laboratory,Laboratory and investigation,rule
Inflammatory myofibroblastic tumour,Inflammatory myofibroblastic tumour,neoplasm,Neoplasms,rule
Reticulocyte haemoglobin equivalent,Reticulocyte haemoglobin equivalent,haematology,Blood and lymphatic,rule
Venous perforation,Venous perforation,cardiovascular,Cardiovascular,rule
Floppy eyelid syndrome,Floppy eyelid syndrome,ocular,Eye and vision,rule
Pathologic myopia,Pathologic myopia,other,Other / manual review,fallback
Haematotympanum,Haematotympanum,other,Other / manual review,fallback
Myoglobin urine present,Myoglobin urine present,laboratory,Laboratory and investigation,rule
Viral oesophagitis,Viral oesophagitis,infection,Infections,rule
Reduced bladder capacity,Reduced bladder capacity,renal_urinary,Renal and urinary,rule
Biopsy colon abnormal,Biopsy colon abnormal,laboratory,Laboratory and investigation,rule
Paroxysmal sympathetic hyperactivity,Paroxysmal sympathetic hyperactivity,other,Other / manual review,fallback
Decorticate posture,Decorticate posture,other,Other / manual review,fallback
Catheter site necrosis,Catheter site necrosis,device,Device and procedure-related,rule
Catheter site hypoaesthesia,Catheter site hypoaesthesia,device,Device and procedure-related,rule
Poor weight gain neonatal,Poor weight gain neonatal,pregnancy,Pregnancy and perinatal,rule
Lenticulostriatal vasculopathy,Lenticulostriatal vasculopathy,other,Other / manual review,fallback
Sclerodactylia,Sclerodactylia,other,Other / manual review,fallback
Vaginal cancer stage 0,Vaginal cancer stage 0,neoplasm,Neoplasms,rule
Degenerative aortic valve disease,Degenerative aortic valve disease,cardiovascular,Cardiovascular,rule
Pulmonary microemboli,Pulmonary microemboli,cardiovascular,Cardiovascular,rule
Internal limiting membrane peeling,Internal limiting membrane peeling,other,Other / manual review,fallback
Vaccination site rash,Vaccination site rash,dermatological,Skin and subcutaneous tissue,rule
Catheter site pustule,Catheter site pustule,device,Device and procedure-related,rule
Lung squamous cell carcinoma stage III,Lung squamous cell carcinoma stage III,neoplasm,Neoplasms,rule
Mycobacterium fortuitum infection,Mycobacterium fortuitum infection,infection,Infections,rule
Abdominal hernia repair,Abdominal hernia repair,gastrointestinal,Gastrointestinal,rule
Thymoma malignant recurrent,Thymoma malignant recurrent,other,Other / manual review,fallback
Mueller^s mixed tumour,Mueller's mixed tumour,neoplasm,Neoplasms,rule
Interferon gamma decreased,Interferon gamma decreased,laboratory,Laboratory and investigation,rule
Therapeutic hypothermia,Therapeutic hypothermia,other,Other / manual review,fallback
Kidney anastomosis,Kidney anastomosis,renal_urinary,Renal and urinary,rule
Carotid arterial embolus,Carotid arterial embolus,cardiovascular,Cardiovascular,rule
VIIth nerve injury,VIIth nerve injury,neurological,Nervous system and neurological,rule
Mean cell haemoglobin,Mean cell haemoglobin,haematology,Blood and lymphatic,rule
Precursor B-lymphoblastic lymphoma,Precursor B-lymphoblastic lymphoma,neoplasm,Neoplasms,rule
Fungal tracheitis,Fungal tracheitis,infection,Infections,rule
Gelatinous transformation of the bone marrow,Gelatinous transformation of the bone marrow,musculoskeletal,Musculoskeletal,rule
Intraductal papillary-mucinous carcinoma of pancreas,Intraductal papillary-mucinous carcinoma of pancreas,neoplasm,Neoplasms,rule
Viral myositis,Viral myositis,infection,Infections,rule
Hepatitis D,Hepatitis D,infection,Infections,rule
Lacrimal haemorrhage,Lacrimal haemorrhage,haematology,Blood and lymphatic,rule
Posterior capsule rupture,Posterior capsule rupture,other,Other / manual review,fallback
AIDS related complication,AIDS related complication,other,Other / manual review,fallback
Atrioventricular dissociation,Atrioventricular dissociation,cardiovascular,Cardiovascular,rule
Chemokine increased,Chemokine increased,laboratory,Laboratory and investigation,rule
Antidepressant therapy,Antidepressant therapy,procedure,Procedures and interventions,rule
Gastroenteritis aeromonas,Gastroenteritis aeromonas,gastrointestinal,Gastrointestinal,rule
Acquired corneal dystrophy,Acquired corneal dystrophy,ocular,Eye and vision,rule
Atrial hypertrophy,Atrial hypertrophy,cardiovascular,Cardiovascular,rule
Angiosclerosis,Angiosclerosis,other,Other / manual review,fallback
Flavivirus infection,Flavivirus infection,infection,Infections,rule
Cytomegalovirus urinary tract infection,Cytomegalovirus urinary tract infection,infection,Infections,rule
Migraine prophylaxis,Migraine prophylaxis,neurological,Nervous system and neurological,rule
Epidural fibrosis,Epidural fibrosis,other,Other / manual review,fallback
Aneurysm recanalisation,Aneurysm recanalisation,other,Other / manual review,fallback
Diverticular fistula,Diverticular fistula,other,Other / manual review,fallback
Soft tissue excision,Soft tissue excision,procedure,Procedures and interventions,rule
Liver carcinoma ruptured,Liver carcinoma ruptured,neoplasm,Neoplasms,rule
Mixed dementia,Mixed dementia,neurological,Nervous system and neurological,rule
Encapsulation reaction,Encapsulation reaction,other,Other / manual review,fallback
Metastases to mouth,Metastases to mouth,neoplasm,Neoplasms,rule
Probiotic therapy,Probiotic therapy,procedure,Procedures and interventions,rule
Vascular test,Vascular test,laboratory,Laboratory and investigation,rule
Capillaritis,Capillaritis,other,Other / manual review,fallback
Breast fibroma,Breast fibroma,reproductive,Reproductive and breast,rule
Seminal vesicular disorder,Seminal vesicular disorder,other,Other / manual review,fallback
Post streptococcal glomerulonephritis,Post streptococcal glomerulonephritis,renal_urinary,Renal and urinary,rule
Cardiac valve thickening,Cardiac valve thickening,cardiovascular,Cardiovascular,rule
Intermittent explosive disorder,Intermittent explosive disorder,other,Other / manual review,fallback
Pleural calcification,Pleural calcification,respiratory,Respiratory,rule
Cavernous sinus syndrome,Cavernous sinus syndrome,respiratory,Respiratory,rule
Cerebellar tumour,Cerebellar tumour,neoplasm,Neoplasms,rule
Hypercatabolism,Hypercatabolism,other,Other / manual review,fallback
Coagulation factor decreased,Coagulation factor decreased,laboratory,Laboratory and investigation,rule
Acquired pigmented retinopathy,Acquired pigmented retinopathy,dermatological,Skin and subcutaneous tissue,rule
Orthodontic procedure,Orthodontic procedure,procedure,Procedures and interventions,rule
Infusion site cyst,Infusion site cyst,device,Device and procedure-related,rule
Traumatic pancreatitis,Traumatic pancreatitis,gastrointestinal,Gastrointestinal,rule
Manufacturing laboratory analytical testing issue,Manufacturing laboratory analytical testing issue,product_quality,Product quality and supply,rule
Electric injury,Electric injury,injury,Injury and poisoning,rule
Cardiac valve abscess,Cardiac valve abscess,cardiovascular,Cardiovascular,rule
Hormone-dependent prostate cancer,Hormone-dependent prostate cancer,neoplasm,Neoplasms,rule
IVth nerve paresis,IVth nerve paresis,neurological,Nervous system and neurological,rule
Pulmonary arteriopathy,Pulmonary arteriopathy,respiratory,Respiratory,rule
Decreased ventricular preload,Decreased ventricular preload,laboratory,Laboratory and investigation,rule
Exploding head syndrome,Exploding head syndrome,other,Other / manual review,fallback
Blood thyroid stimulating hormone normal,Blood thyroid stimulating hormone normal,laboratory,Laboratory and investigation,rule
"Hiatus hernia, obstructive","Hiatus hernia, obstructive",other,Other / manual review,fallback
Synovial cyst removal,Synovial cyst removal,procedure,Procedures and interventions,rule
Spleen procedural complication,Spleen procedural complication,other,Other / manual review,fallback
Mammary duct ectasia,Mammary duct ectasia,other,Other / manual review,fallback
Escherichia test,Escherichia test,laboratory,Laboratory and investigation,rule
Instillation site discolouration,Instillation site discolouration,other,Other / manual review,fallback
Congenital emphysema,Congenital emphysema,other,Other / manual review,fallback
Secondary aldosteronism,Secondary aldosteronism,other,Other / manual review,fallback
Pseudohypoaldosteronism,Pseudohypoaldosteronism,other,Other / manual review,fallback
Cellulitis pasteurella,Cellulitis pasteurella,other,Other / manual review,fallback
Corneal decompensation,Corneal decompensation,ocular,Eye and vision,rule
Cardiac neoplasm malignant,Cardiac neoplasm malignant,neoplasm,Neoplasms,rule
Vulval haematoma,Vulval haematoma,reproductive,Reproductive and breast,rule
Cholangiolitis,Cholangiolitis,other,Other / manual review,fallback
Nerve conduction studies,Nerve conduction studies,neurological,Nervous system and neurological,rule
Blood lead increased,Blood lead increased,laboratory,Laboratory and investigation,rule
Extramammary Paget^s disease,Extramammary Paget's disease,other,Other / manual review,fallback
Plasma cells present,Plasma cells present,laboratory,Laboratory and investigation,rule
Hygroma colli,Hygroma colli,other,Other / manual review,fallback
C3 glomerulopathy,C3 glomerulopathy,other,Other / manual review,fallback
Sterile pyuria,Sterile pyuria,other,Other / manual review,fallback
Membrane stabilising effect,Membrane stabilising effect,other,Other / manual review,fallback
Algophobia,Algophobia,psychiatric,Psychiatric and behavioural,rule
Radioactive iodine therapy,Radioactive iodine therapy,procedure,Procedures and interventions,rule
Weight loss diet,Weight loss diet,general,General symptoms,rule
Vascular headache,Vascular headache,cardiovascular,Cardiovascular,rule
Congenital aortic atresia,Congenital aortic atresia,cardiovascular,Cardiovascular,rule
Varicophlebitis,Varicophlebitis,other,Other / manual review,fallback
Lactobacillus test positive,Lactobacillus test positive,laboratory,Laboratory and investigation,rule
Failed in vitro fertilisation,Failed in vitro fertilisation,other,Other / manual review,fallback
Application site coldness,Application site coldness,device,Device and procedure-related,rule
Small cell lung cancer recurrent,Small cell lung cancer recurrent,neoplasm,Neoplasms,rule
Histiocytosis,Histiocytosis,other,Other / manual review,fallback
Gastric sarcoma,Gastric sarcoma,neoplasm,Neoplasms,rule
Rhesus antigen positive,Rhesus antigen positive,laboratory,Laboratory and investigation,rule
Device material opacification,Device material opacification,device,Device and procedure-related,rule
Device information output issue,Device information output issue,device,Device and procedure-related,rule
Diverticulitis oesophageal,Diverticulitis oesophageal,gastrointestinal,Gastrointestinal,rule
Congenital genital malformation female,Congenital genital malformation female,other,Other / manual review,fallback
Electrophoresis,Electrophoresis,other,Other / manual review,fallback
Athetosis,Athetosis,other,Other / manual review,fallback
Corneal infiltrates,Corneal infiltrates,ocular,Eye and vision,rule
Matrix metalloproteinase-3 increased,Matrix metalloproteinase-3 increased,laboratory,Laboratory and investigation,rule
Lymphocytic oesophagitis,Lymphocytic oesophagitis,gastrointestinal,Gastrointestinal,rule
Infected naevus,Infected naevus,other,Other / manual review,fallback
Administration site injury,Administration site injury,device,Device and procedure-related,rule
Osteochondral fracture,Osteochondral fracture,musculoskeletal,Musculoskeletal,rule
Administration site nerve damage,Administration site nerve damage,device,Device and procedure-related,rule
Posterior fossa syndrome,Posterior fossa syndrome,other,Other / manual review,fallback
Oral hyperkeratosis,Oral hyperkeratosis,other,Other / manual review,fallback
Foetal placental thrombosis,Foetal placental thrombosis,pregnancy,Pregnancy and perinatal,rule
Sinuplasty,Sinuplasty,other,Other / manual review,fallback
Viral labyrinthitis,Viral labyrinthitis,infection,Infections,rule
Puncture site hernia,Puncture site hernia,device,Device and procedure-related,rule
Vaccination site warmth,Vaccination site warmth,other,Other / manual review,fallback
Synaesthesia,Synaesthesia,other,Other / manual review,fallback
Spinal meningeal cyst,Spinal meningeal cyst,neurological,Nervous system and neurological,rule
Peliosis hepatis,Peliosis hepatis,other,Other / manual review,fallback
Pulmonary tumour thrombotic microangiopathy,Pulmonary tumour thrombotic microangiopathy,neoplasm,Neoplasms,rule
Electrocardiogram delta waves abnormal,Electrocardiogram delta waves abnormal,laboratory,Laboratory and investigation,rule
Thyroxine free abnormal,Thyroxine free abnormal,laboratory,Laboratory and investigation,rule
Medical device site haematoma,Medical device site haematoma,device,Device and procedure-related,rule
Hemidysaesthesia,Hemidysaesthesia,other,Other / manual review,fallback
Alveolar-arterial oxygen gradient increased,Alveolar-arterial oxygen gradient increased,laboratory,Laboratory and investigation,rule
Streptobacillus infection,Streptobacillus infection,infection,Infections,rule
Tongue cyst,Tongue cyst,other,Other / manual review,fallback
Lactobacillus infection,Lactobacillus infection,infection,Infections,rule
Neutrophil morphology abnormal,Neutrophil morphology abnormal,laboratory,Laboratory and investigation,rule
Premature ovulation,Premature ovulation,other,Other / manual review,fallback
Glycogen storage disease type V,Glycogen storage disease type V,other,Other / manual review,fallback
Dermatitis papillaris capillitii,Dermatitis papillaris capillitii,dermatological,Skin and subcutaneous tissue,rule
Lip lesion excision,Lip lesion excision,procedure,Procedures and interventions,rule
"Ear, nose and throat examination abnormal","Ear, nose and throat examination abnormal",laboratory,Laboratory and investigation,rule
Pseudohyponatraemia,Pseudohyponatraemia,other,Other / manual review,fallback
Ureteric cancer metastatic,Ureteric cancer metastatic,neoplasm,Neoplasms,rule
EGFR status assay,EGFR status assay,laboratory,Laboratory and investigation,rule
Graft haemorrhage,Graft haemorrhage,haematology,Blood and lymphatic,rule
Measles post vaccine,Measles post vaccine,other,Other / manual review,fallback
Adrenal atrophy,Adrenal atrophy,renal_urinary,Renal and urinary,rule
Pregnancy with injectable contraceptive,Pregnancy with injectable contraceptive,pregnancy,Pregnancy and perinatal,rule
Pineal neoplasm,Pineal neoplasm,neoplasm,Neoplasms,rule
Soft tissue foreign body,Soft tissue foreign body,injury,Injury and poisoning,rule
Diastolic hypertension,Diastolic hypertension,cardiovascular,Cardiovascular,rule
Internal carotid artery deformity,Internal carotid artery deformity,other,Other / manual review,fallback
Ocular ischaemic syndrome,Ocular ischaemic syndrome,ocular,Eye and vision,rule
Deficiency of bile secretion,Deficiency of bile secretion,gastrointestinal,Gastrointestinal,rule
Immune-mediated uveitis,Immune-mediated uveitis,ocular,Eye and vision,rule
Anti-VGCC antibody positive,Anti-VGCC antibody positive,laboratory,Laboratory and investigation,rule
Appendicolith,Appendicolith,other,Other / manual review,fallback
Cyst drainage,Cyst drainage,other,Other / manual review,fallback
Vaginal mesh removal surgery,Vaginal mesh removal surgery,reproductive,Reproductive and breast,rule
Campylobacter test positive,Campylobacter test positive,laboratory,Laboratory and investigation,rule
Presumed ocular histoplasmosis syndrome,Presumed ocular histoplasmosis syndrome,ocular,Eye and vision,rule
Progressive massive fibrosis,Progressive massive fibrosis,other,Other / manual review,fallback
Detachment of macular retinal pigment epithelium,Detachment of macular retinal pigment epithelium,ocular,Eye and vision,rule
Cardiovascular function test abnormal,Cardiovascular function test abnormal,laboratory,Laboratory and investigation,rule
Perthes disease,Perthes disease,other,Other / manual review,fallback
Anaplastic thyroid cancer,Anaplastic thyroid cancer,neoplasm,Neoplasms,rule
Retinal fibrosis,Retinal fibrosis,ocular,Eye and vision,rule
Pseudoaldosteronism,Pseudoaldosteronism,other,Other / manual review,fallback
HIV-associated neurocognitive disorder,HIV-associated neurocognitive disorder,other,Other / manual review,fallback
Coeliac artery aneurysm,Coeliac artery aneurysm,other,Other / manual review,fallback
Enlarged foetal cisterna magna,Enlarged foetal cisterna magna,pregnancy,Pregnancy and perinatal,rule
Prophylaxis,Prophylaxis,other,Other / manual review,fallback
Congenital cerebellar agenesis,Congenital cerebellar agenesis,neurological,Nervous system and neurological,rule
Mesenteric neoplasm,Mesenteric neoplasm,neoplasm,Neoplasms,rule
Morganella test positive,Morganella test positive,laboratory,Laboratory and investigation,rule
Accidental use of placebo,Accidental use of placebo,injury,Injury and poisoning,rule
Metastases to gallbladder,Metastases to gallbladder,neoplasm,Neoplasms,rule
Bacterial blepharitis,Bacterial blepharitis,infection,Infections,rule
Salmonella test positive,Salmonella test positive,laboratory,Laboratory and investigation,rule
Blood pressure orthostatic,Blood pressure orthostatic,laboratory,Laboratory and investigation,rule
Urine phosphorus,Urine phosphorus,laboratory,Laboratory and investigation,rule
Neoplasm of thymus,Neoplasm of thymus,neoplasm,Neoplasms,rule
Kernicterus,Kernicterus,other,Other / manual review,fallback
Spinal retrolisthesis,Spinal retrolisthesis,musculoskeletal,Musculoskeletal,rule
Lymphoblast count increased,Lymphoblast count increased,laboratory,Laboratory and investigation,rule
Carotid intima-media thickness increased,Carotid intima-media thickness increased,laboratory,Laboratory and investigation,rule
Blood zinc decreased,Blood zinc decreased,laboratory,Laboratory and investigation,rule
Blood catecholamines decreased,Blood catecholamines decreased,laboratory,Laboratory and investigation,rule
Mixed adenoneuroendocrine carcinoma,Mixed adenoneuroendocrine carcinoma,neoplasm,Neoplasms,rule
Toxic nodular goitre,Toxic nodular goitre,other,Other / manual review,fallback
Eye complication associated with device,Eye complication associated with device,device,Device and procedure-related,rule
Chlamydial pelvic inflammatory disease,Chlamydial pelvic inflammatory disease,immune_inflammatory,Immune and inflammatory,rule
Injection site abscess sterile,Injection site abscess sterile,device,Device and procedure-related,rule
Culture urine,Culture urine,laboratory,Laboratory and investigation,rule
Splenic marginal zone lymphoma,Splenic marginal zone lymphoma,neoplasm,Neoplasms,rule
Sulphaemoglobinaemia,Sulphaemoglobinaemia,haematology,Blood and lymphatic,rule
T-cell chronic lymphocytic leukaemia,T-cell chronic lymphocytic leukaemia,neoplasm,Neoplasms,rule
Blood creatinine,Blood creatinine,laboratory,Laboratory and investigation,rule
Malignant neoplasm of conjunctiva,Malignant neoplasm of conjunctiva,neoplasm,Neoplasms,rule
Anisochromia,Anisochromia,other,Other / manual review,fallback
Venous intravasation,Venous intravasation,cardiovascular,Cardiovascular,rule
Tendinous contracture,Tendinous contracture,other,Other / manual review,fallback
Malignant biliary obstruction,Malignant biliary obstruction,gastrointestinal,Gastrointestinal,rule
Cardiovascular examination abnormal,Cardiovascular examination abnormal,laboratory,Laboratory and investigation,rule
Fraction of inspired oxygen,Fraction of inspired oxygen,respiratory,Respiratory,rule
Primary hypoparathyroidism,Primary hypoparathyroidism,endocrine,Endocrine and metabolic,rule
Neuro-ophthalmological test abnormal,Neuro-ophthalmological test abnormal,laboratory,Laboratory and investigation,rule
Community acquired infection,Community acquired infection,infection,Infections,rule
Heat oedema,Heat oedema,dermatological,Skin and subcutaneous tissue,rule
Medical device site scar,Medical device site scar,device,Device and procedure-related,rule
Pulmonary arterial wedge pressure,Pulmonary arterial wedge pressure,cardiovascular,Cardiovascular,rule
Snapping hip syndrome,Snapping hip syndrome,other,Other / manual review,fallback
Hemihyperaesthesia,Hemihyperaesthesia,other,Other / manual review,fallback
Acinetobacter test positive,Acinetobacter test positive,laboratory,Laboratory and investigation,rule
Propionibacterium infection,Propionibacterium infection,infection,Infections,rule
Primitive reflex test positive,Primitive reflex test positive,laboratory,Laboratory and investigation,rule
Brachial plexus injury,Brachial plexus injury,injury,Injury and poisoning,rule
Manufacturing facilities issue,Manufacturing facilities issue,product_quality,Product quality and supply,rule
Benign tracheal neoplasm,Benign tracheal neoplasm,neoplasm,Neoplasms,rule
Meningocele,Meningocele,neurological,Nervous system and neurological,rule
Mental disorder due to a general medical condition,Mental disorder due to a general medical condition,other,Other / manual review,fallback
Puncture site reaction,Puncture site reaction,device,Device and procedure-related,rule
Oesophageal anastomosis,Oesophageal anastomosis,gastrointestinal,Gastrointestinal,rule
Non-Hodgkin^s lymphoma unspecified histology aggressive,Non-Hodgkin's lymphoma unspecified histology aggressive,neoplasm,Neoplasms,rule
Retro-orbital neoplasm,Retro-orbital neoplasm,neoplasm,Neoplasms,rule
Mononuclear cell count abnormal,Mononuclear cell count abnormal,laboratory,Laboratory and investigation,rule
Prostatism,Prostatism,other,Other / manual review,fallback
Cervix cerclage procedure,Cervix cerclage procedure,procedure,Procedures and interventions,rule
Phagophobia,Phagophobia,psychiatric,Psychiatric and behavioural,rule
Cross infection,Cross infection,infection,Infections,rule
Exaggerated startle response,Exaggerated startle response,other,Other / manual review,fallback
Creatine urine increased,Creatine urine increased,laboratory,Laboratory and investigation,rule
Peripheral revascularisation,Peripheral revascularisation,cardiovascular,Cardiovascular,rule
Argyria,Argyria,other,Other / manual review,fallback
Enteropathic spondylitis,Enteropathic spondylitis,other,Other / manual review,fallback
Chest wall cyst,Chest wall cyst,other,Other / manual review,fallback
Bladder transitional cell carcinoma stage I,Bladder transitional cell carcinoma stage I,neoplasm,Neoplasms,rule
Ocular dysmetria,Ocular dysmetria,ocular,Eye and vision,rule
Vaccination site cellulitis,Vaccination site cellulitis,other,Other / manual review,fallback
Thyroxine,Thyroxine,other,Other / manual review,fallback
Gangrene neonatal,Gangrene neonatal,pregnancy,Pregnancy and perinatal,rule
Chorioretinal scar,Chorioretinal scar,ocular,Eye and vision,rule
Von Hippel-Lindau disease,Von Hippel-Lindau disease,other,Other / manual review,fallback
Jaundice hepatocellular,Jaundice hepatocellular,other,Other / manual review,fallback
Truncus arteriosus persistent,Truncus arteriosus persistent,device,Device and procedure-related,rule
Normal labour,Normal labour,pregnancy,Pregnancy and perinatal,rule
Dent^s disease,Dent's disease,other,Other / manual review,fallback
pH body fluid increased,pH body fluid increased,laboratory,Laboratory and investigation,rule
Therapy naive,Therapy naive,procedure,Procedures and interventions,rule
Mediastinal shift,Mediastinal shift,other,Other / manual review,fallback
Appendicitis noninfective,Appendicitis noninfective,infection,Infections,rule
Ocular lymphoma,Ocular lymphoma,neoplasm,Neoplasms,rule
Mirror syndrome,Mirror syndrome,other,Other / manual review,fallback
Urinary tract operation,Urinary tract operation,renal_urinary,Renal and urinary,rule
Bilirubin conjugated,Bilirubin conjugated,other,Other / manual review,fallback
Antimicrobial susceptibility test,Antimicrobial susceptibility test,laboratory,Laboratory and investigation,rule
Vocal cord leukoplakia,Vocal cord leukoplakia,other,Other / manual review,fallback
Pelvic congestion,Pelvic congestion,other,Other / manual review,fallback
Steal syndrome,Steal syndrome,other,Other / manual review,fallback
Brain stem auditory evoked response abnormal,Brain stem auditory evoked response abnormal,laboratory,Laboratory and investigation,rule
Gardnerella infection,Gardnerella infection,infection,Infections,rule
Post coital contraception,Post coital contraception,other,Other / manual review,fallback
Vaccination site infection,Vaccination site infection,infection,Infections,rule
Pharyngeal lesion,Pharyngeal lesion,respiratory,Respiratory,rule
Capsular contracture associated with breast implant,Capsular contracture associated with breast implant,reproductive,Reproductive and breast,rule
Restenosis,Restenosis,other,Other / manual review,fallback
Ovarian endometrioid carcinoma,Ovarian endometrioid carcinoma,neoplasm,Neoplasms,rule
Mononuclear cell count increased,Mononuclear cell count increased,laboratory,Laboratory and investigation,rule
Thrombosed varicose vein,Thrombosed varicose vein,other,Other / manual review,fallback
Myocardiac abscess,Myocardiac abscess,cardiovascular,Cardiovascular,rule
Bezold abscess,Bezold abscess,other,Other / manual review,fallback
Listeraemia,Listeraemia,other,Other / manual review,fallback
Prepuce redundant,Prepuce redundant,other,Other / manual review,fallback
Pericardial calcification,Pericardial calcification,cardiovascular,Cardiovascular,rule
Vesicocutaneous fistula,Vesicocutaneous fistula,other,Other / manual review,fallback
Acne,Acne,other,Other / manual review,fallback
Headache,Headache,neurological,Nervous system and neurological,rule
Eye pain,Eye pain,ocular,Eye and vision,rule
Sinusitis,Sinusitis,respiratory,Respiratory,rule
Migraine,Migraine,neurological,Nervous system and neurological,rule
Oral mucosal blistering,Oral mucosal blistering,dermatological,Skin and subcutaneous tissue,rule
Weight increased,Weight increased,laboratory,Laboratory and investigation,rule
Dysgeusia,Dysgeusia,other,Other / manual review,fallback
Feeling abnormal,Feeling abnormal,laboratory,Laboratory and investigation,rule
Right ventricular failure,Right ventricular failure,cardiovascular,Cardiovascular,rule
Pneumonia,Pneumonia,infection,Infections,rule
Pneumonia aspiration,Pneumonia aspiration,infection,Infections,rule
Bone marrow failure,Bone marrow failure,musculoskeletal,Musculoskeletal,rule
Seizure,Seizure,neurological,Nervous system and neurological,rule
Arthralgia,Arthralgia,musculoskeletal,Musculoskeletal,rule
Acute coronary syndrome,Acute coronary syndrome,cardiovascular,Cardiovascular,rule
Skin discolouration,Skin discolouration,dermatological,Skin and subcutaneous tissue,rule
Accidental overdose,Accidental overdose,medication_error,Medication errors and use issues,rule
Flatulence,Flatulence,other,Other / manual review,fallback
Confabulation,Confabulation,other,Other / manual review,fallback
Bronchitis,Bronchitis,respiratory,Respiratory,rule
Alopecia,Alopecia,dermatological,Skin and subcutaneous tissue,rule
Sneezing,Sneezing,other,Other / manual review,fallback
Bradycardia,Bradycardia,cardiovascular,Cardiovascular,rule
Injury,Injury,injury,Injury and poisoning,rule
Stoma site irritation,Stoma site irritation,device,Device and procedure-related,rule
Bone erosion,Bone erosion,musculoskeletal,Musculoskeletal,rule
Upper limb fracture,Upper limb fracture,musculoskeletal,Musculoskeletal,rule
Generalised tonic-clonic seizure,Generalised tonic-clonic seizure,neurological,Nervous system and neurological,rule
Prostate cancer,Prostate cancer,neoplasm,Neoplasms,rule
Lymphocyte count increased,Lymphocyte count increased,laboratory,Laboratory and investigation,rule
Hypoglycaemia,Hypoglycaemia,endocrine,Endocrine and metabolic,rule
Poor quality device used,Poor quality device used,device,Device and procedure-related,rule
Eye pruritus,Eye pruritus,ocular,Eye and vision,rule
Viral upper respiratory tract infection,Viral upper respiratory tract infection,infection,Infections,rule
Intervertebral disc protrusion,Intervertebral disc protrusion,musculoskeletal,Musculoskeletal,rule
Chromaturia,Chromaturia,other,Other / manual review,fallback
Shock,Shock,other,Other / manual review,fallback
Peripheral embolism,Peripheral embolism,cardiovascular,Cardiovascular,rule
Aspergillus infection,Aspergillus infection,infection,Infections,rule
Unintentional medical device removal,Unintentional medical device removal,device,Device and procedure-related,rule
Adverse reaction,Adverse reaction,other,Other / manual review,fallback
Candida infection,Candida infection,infection,Infections,rule
Seborrhoea,Seborrhoea,other,Other / manual review,fallback
Subdural haematoma,Subdural haematoma,other,Other / manual review,fallback
Forced vital capacity decreased,Forced vital capacity decreased,laboratory,Laboratory and investigation,rule
Suspected suicide,Suspected suicide,psychiatric,Psychiatric and behavioural,rule
Blood loss anaemia,Blood loss anaemia,laboratory,Laboratory and investigation,rule
Sleep disorder,Sleep disorder,psychiatric,Psychiatric and behavioural,rule
Blood pressure diastolic increased,Blood pressure diastolic increased,laboratory,Laboratory and investigation,rule
Blood pressure fluctuation,Blood pressure fluctuation,laboratory,Laboratory and investigation,rule
Depressed level of consciousness,Depressed level of consciousness,laboratory,Laboratory and investigation,rule
Temperature intolerance,Temperature intolerance,other,Other / manual review,fallback
Hyperglycaemia,Hyperglycaemia,endocrine,Endocrine and metabolic,rule
Blood magnesium decreased,Blood magnesium decreased,laboratory,Laboratory and investigation,rule
Eye infection,Eye infection,infection,Infections,rule
Lung neoplasm malignant,Lung neoplasm malignant,neoplasm,Neoplasms,rule
Urine osmolarity,Urine osmolarity,laboratory,Laboratory and investigation,rule
Metastases to heart,Metastases to heart,neoplasm,Neoplasms,rule
Blood lactate dehydrogenase increased,Blood lactate dehydrogenase increased,laboratory,Laboratory and investigation,rule
Myelodysplastic syndrome,Myelodysplastic syndrome,other,Other / manual review,fallback
Antibody test positive,Antibody test positive,laboratory,Laboratory and investigation,rule
Drug level increased,Drug level increased,medication_error,Medication errors and use issues,rule
Multiple allergies,Multiple allergies,other,Other / manual review,fallback
Vision blurred,Vision blurred,ocular,Eye and vision,rule
Respiratory tract infection,Respiratory tract infection,infection,Infections,rule
Heart rate abnormal,Heart rate abnormal,laboratory,Laboratory and investigation,rule
Alveolitis,Alveolitis,other,Other / manual review,fallback
Obstructive airways disorder,Obstructive airways disorder,respiratory,Respiratory,rule
Dysstasia,Dysstasia,other,Other / manual review,fallback
